,FTR,season_period,xg1_5g_avg,xg2_5g_avg,gd_5g_avg,elo_diff,game1_D,game1_H,game2_D,game2_H,game3_D,game3_H,game4_D,game4_H,game5_D,game5_H
348,0,1,0.768,1.59,-1.2,-76.79003906000003,0,0,1,0,1,0,0,0,0,0
112,0,1,1.5559999999999998,1.41,2.2,72.83422852000012,0,0,0,1,0,1,0,1,0,1
164,0,1,1.1420000000000001,1.562,0.2,-61.76721237000015,0,0,1,0,0,1,0,1,1,0
825,0,1,1.784,0.9359999999999999,0.8,175.99658203000013,0,1,0,0,1,0,0,1,0,1
349,0,1,1.404,1.5719999999999998,-0.6,-14.595581049999964,1,0,1,0,0,0,0,0,0,1
60,0,1,0.868,1.028,-1.2,-14.19946288999995,0,0,0,0,0,0,0,0,0,1
113,0,1,1.916,0.9640000000000001,3.0,175.35766629999966,0,1,0,1,0,1,0,1,0,1
557,1,1,1.4420000000000002,0.858,1.0,-202.57189941000001,0,1,1,0,1,0,0,1,0,1
760,2,1,0.9179999999999999,1.58,-1.6,-48.75891112999989,1,0,0,0,1,0,0,0,0,0
727,0,1,1.218,1.082,0.8,-167.15039062999995,0,1,0,1,0,1,0,1,0,0
774,1,1,1.03,1.634,-0.8,-40.59301758000015,0,0,0,1,0,0,1,0,0,0
178,2,1,1.9599999999999997,0.656,0.6,22.46643066999991,0,1,0,1,1,0,0,1,1,0
230,1,1,1.216,1.2979999999999998,0.2,-249.02099609000015,0,1,1,0,0,0,1,0,1,0
623,0,1,1.8760000000000001,0.766,2.4,121.56665038999995,0,1,0,1,0,1,0,1,0,1
9,1,2,1.24,0.8799999999999999,1.2,-195.47375488000012,0,1,0,1,0,1,0,1,1,0
400,1,2,1.61,0.6540000000000001,2.2,278.91918945,0,1,0,1,0,1,0,1,0,1
165,0,2,1.388,1.46,1.0,-89.20605451000006,1,0,0,1,0,1,1,0,0,1
505,0,2,1.04,1.4360000000000002,-0.2,40.02392578000013,0,1,0,0,0,0,0,1,0,1
826,0,2,1.9499999999999997,1.056,0.8,58.477783199999976,0,0,1,0,0,1,0,1,0,1
453,2,2,2.34,0.8559999999999999,0.6,156.89294433999976,0,1,1,0,1,0,0,1,1,0
243,2,2,1.254,0.868,-0.4,81.85839843999997,0,1,0,0,0,0,0,1,0,0
675,0,2,1.192,1.67,-0.6,29.5122070299999,0,0,1,0,0,1,1,0,0,0
296,2,2,2.254,0.834,1.0,-17.98840331999986,0,1,0,1,0,1,0,0,0,1
590,2,2,0.8320000000000001,1.4140000000000001,-0.6,39.46740722000004,0,0,0,0,0,1,0,1,0,1
10,0,2,1.2600000000000002,1.1800000000000002,0.6,-44.94372558000009,0,1,0,1,0,1,1,0,0,0
506,0,2,1.182,1.28,0.0,148.45080567000014,0,0,0,0,0,1,0,1,0,1
454,2,2,1.968,0.752,0.4,78.09826660999988,1,0,1,0,0,1,1,0,1,0
676,0,2,1.238,1.188,0.2,-65.73767090000001,1,0,0,1,1,0,0,0,0,1
297,0,2,1.984,0.9799999999999999,0.8,162.0860595700001,0,1,0,1,0,0,0,1,1,0
401,0,2,1.8779999999999997,0.884,1.4,39.720336920000136,0,1,0,1,0,1,0,1,0,0
166,0,2,1.366,1.476,1.2,2.37561044999984,0,1,0,1,1,0,0,1,0,1
827,2,2,1.7759999999999998,0.994,1.4,201.61621093000008,1,0,0,1,0,1,0,1,0,1
244,0,2,1.14,1.206,-0.6,68.28369141000007,0,0,0,0,0,1,0,0,1,0
591,1,2,0.834,1.2120000000000002,0.0,-224.57861328000013,0,0,0,1,0,1,0,1,1,0
350,1,2,1.2719999999999998,1.41,-0.2,-251.75903319999998,1,0,0,0,0,0,0,1,0,1
179,0,2,2.2380000000000004,0.99,0.4,241.2652589500001,0,1,1,0,0,1,1,0,1,0
231,2,2,1.116,1.5899999999999999,-0.8,-64.54821776999984,1,0,0,0,1,0,1,0,0,0
558,1,2,1.192,1.0939999999999999,0.4,-153.28320312999995,1,0,1,0,0,1,0,1,0,0
624,0,2,1.9840000000000004,0.6940000000000001,2.2,212.2813720700001,0,1,0,1,0,1,0,1,0,1
728,1,2,1.42,1.068,0.8,-29.338256839999985,0,1,0,1,0,1,0,0,0,1
775,0,2,1.322,1.6019999999999999,-0.6,42.627075189999914,0,1,0,0,1,0,0,0,0,0
114,0,2,1.97,0.9019999999999999,3.2,24.75646972000004,0,1,0,1,0,1,0,1,0,1
761,1,2,0.752,1.3659999999999999,-1.6,-252.19067382999992,0,0,1,0,0,0,0,0,1,0
61,0,2,0.8720000000000001,0.908,-0.8,-198.48022461000005,0,0,0,0,0,0,0,1,0,1
62,2,2,1.216,0.756,0.0,-82.19921875,0,0,0,0,0,1,0,1,0,1
115,0,2,2.3679999999999994,0.914,2.8,129.06970215000024,0,1,0,1,0,1,0,1,0,1
245,1,2,1.7739999999999998,1.2200000000000002,0.4,-121.43701171999987,0,0,0,1,0,0,1,0,0,1
559,0,2,1.462,0.8800000000000001,0.2,71.20300285000008,1,0,0,1,0,1,0,0,0,0
762,2,2,0.71,1.4060000000000001,-1.8,-86.47912597000004,1,0,0,0,0,0,1,0,0,0
625,0,2,1.674,0.7379999999999999,2.2,223.0363769500002,0,1,0,1,0,1,0,1,0,1
677,0,2,1.2120000000000002,1.4899999999999998,0.6,25.341552739999997,0,1,1,0,0,0,0,1,0,1
455,0,2,2.366,0.6,0.4,-51.81335448999994,1,0,0,1,1,0,1,0,1,0
729,1,2,1.488,1.1179999999999999,0.2,-159.5179443400002,0,1,0,1,0,0,0,1,0,0
