Date,Club,Elo,key
2018-02-17,Burnley,1682.65197754,2018-02-17 00:00:00Burnl
2018-02-20,Burnley,1682.65197754,2018-02-20 00:00:00Burnl
2018-02-21,Burnley,1682.43249512,2018-02-21 00:00:00Burnl
2018-02-22,Burnley,1682.33972168,2018-02-22 00:00:00Burnl
2018-02-24,Burnley,1682.1895752,2018-02-24 00:00:00Burnl
2018-03-03,Burnley,1680.0637207000002,2018-03-03 00:00:00Burnl
2018-03-06,Burnley,1687.03527832,2018-03-06 00:00:00Burnl
2018-03-07,Burnley,1686.6184082000002,2018-03-07 00:00:00Burnl
2018-03-08,Burnley,1681.41992188,2018-03-08 00:00:00Burnl
2018-03-10,Burnley,1684.73242188,2018-03-10 00:00:00Burnl
2018-03-11,Burnley,1699.87097168,2018-03-11 00:00:00Burnl
2018-03-13,Burnley,1699.87097168,2018-03-13 00:00:00Burnl
2018-03-14,Burnley,1694.1607665999998,2018-03-14 00:00:00Burnl
2018-03-15,Burnley,1692.15600586,2018-03-15 00:00:00Burnl
2018-03-17,Burnley,1693.24194336,2018-03-17 00:00:00Burnl
2018-03-31,Burnley,1693.24194336,2018-03-31 00:00:00Burnl
2018-04-02,Burnley,1700.06787109,2018-04-02 00:00:00Burnl
2018-04-05,Burnley,1700.06787109,2018-04-05 00:00:00Burnl
2018-04-07,Burnley,1703.61450195,2018-04-07 00:00:00Burnl
2018-04-08,Burnley,1711.4185790999998,2018-04-08 00:00:00Burnl
2018-04-09,Burnley,1711.4185790999998,2018-04-09 00:00:00Burnl
2018-04-10,Burnley,1711.4185790999998,2018-04-10 00:00:00Burnl
2018-04-12,Burnley,1711.4185790999998,2018-04-12 00:00:00Burnl
2018-04-14,Burnley,1711.70141602,2018-04-14 00:00:00Burnl
2018-04-15,Burnley,1718.71838379,2018-04-15 00:00:00Burnl
2018-04-17,Burnley,1718.71838379,2018-04-17 00:00:00Burnl
2018-04-18,Burnley,1718.71838379,2018-04-18 00:00:00Burnl
2018-04-19,Burnley,1718.71838379,2018-04-19 00:00:00Burnl
2018-04-22,Burnley,1712.32763672,2018-04-22 00:00:00Burnl
2018-04-23,Burnley,1711.15539551,2018-04-23 00:00:00Burnl
2018-04-24,Burnley,1711.15539551,2018-04-24 00:00:00Burnl
2018-04-25,Burnley,1714.19189453,2018-04-25 00:00:00Burnl
2018-04-26,Burnley,1714.19189453,2018-04-26 00:00:00Burnl
2018-04-28,Burnley,1713.51574707,2018-04-28 00:00:00Burnl
2018-05-02,Burnley,1709.43847656,2018-05-02 00:00:00Burnl
2018-05-03,Burnley,1708.51464844,2018-05-03 00:00:00Burnl
2018-05-06,Burnley,1706.99035645,2018-05-06 00:00:00Burnl
2018-05-09,Burnley,1697.9831542999998,2018-05-09 00:00:00Burnl
2018-05-12,Burnley,1697.9831542999998,2018-05-12 00:00:00Burnl
2018-05-13,Burnley,1697.9831542999998,2018-05-13 00:00:00Burnl
2018-05-20,Burnley,1687.09228516,2018-05-20 00:00:00Burnl
2018-05-26,Burnley,1687.09228516,2018-05-26 00:00:00Burnl
2018-07-25,Burnley,1684.56689453,2018-07-25 00:00:00Burnl
2018-07-26,Burnley,1684.56689453,2018-07-26 00:00:00Burnl
2018-08-02,Burnley,1684.68579102,2018-08-02 00:00:00Burnl
2018-08-08,Burnley,1688.51635742,2018-08-08 00:00:00Burnl
2018-08-09,Burnley,1688.51635742,2018-08-09 00:00:00Burnl
2018-08-12,Burnley,1690.08410645,2018-08-12 00:00:00Burnl
2018-08-16,Burnley,1690.83959961,2018-08-16 00:00:00Burnl
2018-08-17,Burnley,1701.90026855,2018-08-17 00:00:00Burnl
2018-08-18,Burnley,1701.90026855,2018-08-18 00:00:00Burnl
2018-08-19,Burnley,1701.90026855,2018-08-19 00:00:00Burnl
2018-08-23,Burnley,1685.41186523,2018-08-23 00:00:00Burnl
2018-08-25,Burnley,1670.2857666,2018-08-25 00:00:00Burnl
2018-08-26,Burnley,1670.2857666,2018-08-26 00:00:00Burnl
2018-08-29,Burnley,1659.06640625,2018-08-29 00:00:00Burnl
2018-08-30,Burnley,1659.06640625,2018-08-30 00:00:00Burnl
2018-09-01,Burnley,1649.18505859,2018-09-01 00:00:00Burnl
2018-09-02,Burnley,1649.18505859,2018-09-02 00:00:00Burnl
2018-09-16,Burnley,1642.43981934,2018-09-16 00:00:00Burnl
2018-09-18,Burnley,1634.75512695,2018-09-18 00:00:00Burnl
2018-09-19,Burnley,1632.92211914,2018-09-19 00:00:00Burnl
2018-09-20,Burnley,1630.98583984,2018-09-20 00:00:00Burnl
2018-09-22,Burnley,1633.32714844,2018-09-22 00:00:00Burnl
2018-09-25,Burnley,1648.82385254,2018-09-25 00:00:00Burnl
2018-09-26,Burnley,1648.82385254,2018-09-26 00:00:00Burnl
2018-09-28,Burnley,1648.82385254,2018-09-28 00:00:00Burnl
2018-09-30,Burnley,1648.82385254,2018-09-30 00:00:00Burnl
2018-10-02,Burnley,1656.37402344,2018-10-02 00:00:00Burnl
2018-10-03,Burnley,1656.30102539,2018-10-03 00:00:00Burnl
2018-10-04,Burnley,1650.10021973,2018-10-04 00:00:00Burnl
2018-10-06,Burnley,1651.94189453,2018-10-06 00:00:00Burnl
2018-10-07,Burnley,1647.13830566,2018-10-07 00:00:00Burnl
2018-10-20,Burnley,1647.13830566,2018-10-20 00:00:00Burnl
2018-10-21,Burnley,1644.03894043,2018-10-21 00:00:00Burnl
2018-10-22,Burnley,1644.03894043,2018-10-22 00:00:00Burnl
2018-10-23,Burnley,1644.03894043,2018-10-23 00:00:00Burnl
2018-10-24,Burnley,1644.62646484,2018-10-24 00:00:00Burnl
2018-10-25,Burnley,1644.14880371,2018-10-25 00:00:00Burnl
2018-10-28,Burnley,1646.77270508,2018-10-28 00:00:00Burnl
2018-11-03,Burnley,1637.9407959,2018-11-03 00:00:00Burnl
2018-11-06,Burnley,1629.47314453,2018-11-06 00:00:00Burnl
2018-11-07,Burnley,1623.06384277,2018-11-07 00:00:00Burnl
2018-11-08,Burnley,1629.08886719,2018-11-08 00:00:00Burnl
2018-11-09,Burnley,1627.90893555,2018-11-09 00:00:00Burnl
2018-11-10,Burnley,1627.90893555,2018-11-10 00:00:00Burnl
2018-11-23,Burnley,1631.40661621,2018-11-23 00:00:00Burnl
2018-11-24,Burnley,1631.40661621,2018-11-24 00:00:00Burnl
2018-11-25,Burnley,1631.40661621,2018-11-25 00:00:00Burnl
2018-11-26,Burnley,1631.40661621,2018-11-26 00:00:00Burnl
2018-11-27,Burnley,1621.84558105,2018-11-27 00:00:00Burnl
2018-11-28,Burnley,1621.10742188,2018-11-28 00:00:00Burnl
2018-11-29,Burnley,1620.26965332,2018-11-29 00:00:00Burnl
2018-12-01,Burnley,1622.88232422,2018-12-01 00:00:00Burnl
2018-12-05,Burnley,1614.28723145,2018-12-05 00:00:00Burnl
2018-12-08,Burnley,1610.28210449,2018-12-08 00:00:00Burnl
2018-12-09,Burnley,1617.78088379,2018-12-09 00:00:00Burnl
2018-12-11,Burnley,1617.78088379,2018-12-11 00:00:00Burnl
2018-12-12,Burnley,1620.94897461,2018-12-12 00:00:00Burnl
2018-12-13,Burnley,1618.95422363,2018-12-13 00:00:00Burnl
2018-12-15,Burnley,1616.76208496,2018-12-15 00:00:00Burnl
2018-12-16,Burnley,1615.1529541,2018-12-16 00:00:00Burnl
2018-12-17,Burnley,1615.1529541,2018-12-17 00:00:00Burnl
2018-12-19,Burnley,1615.1529541,2018-12-19 00:00:00Burnl
2018-12-22,Burnley,1615.1529541,2018-12-22 00:00:00Burnl
2018-12-23,Burnley,1612.08215332,2018-12-23 00:00:00Burnl
2018-12-26,Burnley,1612.08215332,2018-12-26 00:00:00Burnl
2018-12-29,Burnley,1597.12963867,2018-12-29 00:00:00Burnl
2018-12-30,Burnley,1597.12963867,2018-12-30 00:00:00Burnl
2019-01-02,Burnley,1610.07458496,2019-01-02 00:00:00Burnl
2019-01-06,Burnley,1617.31652832,2019-01-06 00:00:00Burnl
2019-01-12,Burnley,1617.31652832,2019-01-12 00:00:00Burnl
2019-01-19,Burnley,1622.9934082,2019-01-19 00:00:00Burnl
2019-01-20,Burnley,1625.62023926,2019-01-20 00:00:00Burnl
2019-01-25,Burnley,1625.62023926,2019-01-25 00:00:00Burnl
2019-01-27,Burnley,1625.62023926,2019-01-27 00:00:00Burnl
2019-01-28,Burnley,1625.62023926,2019-01-28 00:00:00Burnl
2019-01-29,Burnley,1625.62023926,2019-01-29 00:00:00Burnl
2019-02-01,Burnley,1632.57995605,2019-02-01 00:00:00Burnl
2019-02-02,Burnley,1632.57995605,2019-02-02 00:00:00Burnl
2019-02-08,Burnley,1631.20715332,2019-02-08 00:00:00Burnl
2019-02-09,Burnley,1631.20715332,2019-02-09 00:00:00Burnl
2019-02-11,Burnley,1644.68151855,2019-02-11 00:00:00Burnl
2019-02-12,Burnley,1644.68151855,2019-02-12 00:00:00Burnl
2019-02-13,Burnley,1640.57495117,2019-02-13 00:00:00Burnl
2019-02-14,Burnley,1644.45153809,2019-02-14 00:00:00Burnl
2019-02-19,Burnley,1643.50610352,2019-02-19 00:00:00Burnl
2019-02-20,Burnley,1642.90319824,2019-02-20 00:00:00Burnl
2019-02-21,Burnley,1643.58435059,2019-02-21 00:00:00Burnl
2019-02-22,Burnley,1646.56298828,2019-02-22 00:00:00Burnl
2019-02-23,Burnley,1646.56298828,2019-02-23 00:00:00Burnl
2019-02-26,Burnley,1659.7947998,2019-02-26 00:00:00Burnl
2019-03-02,Burnley,1650.08898926,2019-03-02 00:00:00Burnl
2019-03-03,Burnley,1637.16687012,2019-03-03 00:00:00Burnl
2019-03-05,Burnley,1637.16687012,2019-03-05 00:00:00Burnl
2019-03-06,Burnley,1638.63024902,2019-03-06 00:00:00Burnl
2019-03-07,Burnley,1645.54431152,2019-03-07 00:00:00Burnl
2019-03-09,Burnley,1643.79650879,2019-03-09 00:00:00Burnl
2019-03-10,Burnley,1643.79650879,2019-03-10 00:00:00Burnl
2019-03-12,Burnley,1641.79614258,2019-03-12 00:00:00Burnl
2019-03-13,Burnley,1642.31225586,2019-03-13 00:00:00Burnl
2019-03-14,Burnley,1647.78808594,2019-03-14 00:00:00Burnl
2019-03-16,Burnley,1653.96484375,2019-03-16 00:00:00Burnl
2019-03-30,Burnley,1645.21166992,2019-03-30 00:00:00Burnl
2019-04-06,Burnley,1655.7689209,2019-04-06 00:00:00Burnl
2019-04-09,Burnley,1670.44592285,2019-04-09 00:00:00Burnl
2019-04-10,Burnley,1671.9642334,2019-04-10 00:00:00Burnl
2019-04-11,Burnley,1670.48120117,2019-04-11 00:00:00Burnl
2019-04-12,Burnley,1674.34399414,2019-04-12 00:00:00Burnl
2019-04-13,Burnley,1674.34399414,2019-04-13 00:00:00Burnl
2019-04-16,Burnley,1680.35668945,2019-04-16 00:00:00Burnl
2019-04-17,Burnley,1678.55834961,2019-04-17 00:00:00Burnl
2019-04-18,Burnley,1679.97607422,2019-04-18 00:00:00Burnl
2019-04-20,Burnley,1682.13256836,2019-04-20 00:00:00Burnl
2019-04-22,Burnley,1682.13256836,2019-04-22 00:00:00Burnl
2019-04-24,Burnley,1688.32324219,2019-04-24 00:00:00Burnl
2019-04-27,Burnley,1688.32324219,2019-04-27 00:00:00Burnl
2019-04-28,Burnley,1688.32324219,2019-04-28 00:00:00Burnl
2019-04-30,Burnley,1685.84973145,2019-04-30 00:00:00Burnl
2019-05-01,Burnley,1682.46142578,2019-05-01 00:00:00Burnl
2019-05-02,Burnley,1678.55090332,2019-05-02 00:00:00Burnl
2019-05-03,Burnley,1681.83447266,2019-05-03 00:00:00Burnl
2019-05-04,Burnley,1674.80566406,2019-05-04 00:00:00Burnl
2019-05-05,Burnley,1674.80566406,2019-05-05 00:00:00Burnl
2019-05-07,Burnley,1674.80566406,2019-05-07 00:00:00Burnl
2019-05-08,Burnley,1682.64306641,2019-05-08 00:00:00Burnl
2019-05-09,Burnley,1687.73376465,2019-05-09 00:00:00Burnl
2019-05-12,Burnley,1688.66943359,2019-05-12 00:00:00Burnl
2019-05-18,Burnley,1681.37927246,2019-05-18 00:00:00Burnl
2019-05-19,Burnley,1681.37927246,2019-05-19 00:00:00Burnl
2019-05-22,Burnley,1681.37927246,2019-05-22 00:00:00Burnl
2019-05-24,Burnley,1681.37927246,2019-05-24 00:00:00Burnl
